GeneID uniprot
221914 Q8N158
89845 Q5T3U5
3417 O75874
479 P54707
7738 Q99676
56243 Q5T5P2
652 P12644
10885 Q9UNX4
79720 Q9H9H4
2352 P41439
5795 Q12913
23657 Q9UPY5
10038 Q9UGN5
144568 A8K2U0
646851 F5H4B4
64220 Q9BX79
285641 Q495N2
1536 P04839
121340 Q8TDD2
57214 Q8WUJ3
5791 P23469
3980 P49916
56475 Q9NS64
29909 O14626
84247 Q6ICC9
89870 Q9C019
81318 Q8NH83
126068 Q8N8Z8
3316 Q16082
6608 Q99835
140686 Q8IUB2
445582 Q6S8J3
282770 Q8NH19
283777 Q8N8A8
130617 Q8WV99
27181 Q9NYZ4
54832 Q709C8
9470 O60573
114026 Q96PE6
84874 Q96K75
1412 P53672
283160 Q9GZM6
57730 Q8N2N9
5110 P22061
51693 Q9UL33
6335 Q15858
51588 Q8N2W9
57615 Q9P255
50832 Q9NYW5
9810 O75150
64066 Q9H306
170082 Q8N8B7
5698 P28065
284654 Q2MKA7
65055 Q9H902
57546 Q9P2J9
213 P02768
79919 Q08AI8
91624 Q0ZGT2
54811 Q6V9R5
64645 Q96MC6
112812 Q6P4F2
100533177 A8MX34
2849 Q8NDV2
56300 Q9NZH8
7317 P22314
6860 Q9H2B2
56001 Q9GZY0
25801 P28676
9073 P56748
163778 Q96PI1
92014 Q9H1U9
84141 Q9H8M9
4093 O15198
51239 Q53RE8
101927601 H0YKK7
55074 Q8N573
5228 P49763
5891 Q9UQ07
2021 Q14249
54476 Q9NWF9
9202 Q5VZL5
100287364 D6R9N7
6318 P48594
55898 Q9H3U1
146802 Q86VL8
147138 Q8IU68
56160 Q96MG7
2012 P54849
9056 Q9UM01
23423 Q9Y3Q3
9900 Q7L0J3
64783 Q96T37
11194 Q9NUT2
55604 Q5VZK9
221656 Q8NB78
121129 Q8NGE2
3678 P08648
81697 Q9GZK3
84803 Q53EU6
2872 Q9HBH9
169355 Q6ZQW0
58500 P15622
104 P78563
51510 Q9NZZ3
79931 Q96KP6
641339 Q2M3X9
3699 Q06033
122748 Q8NGC7
64065 Q96FX8
55630 Q6P5W5
5813 Q00577
727851 O14715
22919 Q15691
1432 Q16539
4543 P48039
5914 P10276
7430 P15311
51585 O94913
8569 Q9BUB5
340706 Q5GFL6
11338 P26368
10718 P56975
340562 Q86VE3
90139 Q96SJ8
388630 A6NFA1
93492 Q6XPS3
81470 Q8NGZ5
6892 O15533
727957 Q8NDA8
8277 P51854
340595 Q6ZR62
123283 A2RTX5
102724334 P57053
6203 P46781
283999 A6NFC5
6656 O00570
25763 O75409
945 P20138
257397 Q8N5C8
64745 Q9H7H0
54555 Q9Y6V7
5965 P46063
7712 P51786
84725 Q96JA3
162655 Q8TB69
284346 Q86XF7
90102 Q86SQ0
80128 Q7Z4K8
4277 Q29980
169026 Q8IWU4
148741 Q8N283
29107 Q9UKK6
55276 Q96G03
84435 Q86SQ6
1143 P30926
2665 P50395
171484 Q8IZT9
3293 P37058
152110 Q6ZWH5
5146 P51160
55345 Q86YA3
10647 O95969
728279 Q9BYT5
5288 O75747
254428 Q8IVJ1
9572 P20393
60676 Q9BXP8
11149 Q8NE79
64743 Q9H1Z4
4166 Q9GZX3
7188 O00463
2301 Q13461
391475 A2CJ06
7846 Q71U36
8500 Q13136
26036 Q9Y4E5
10473 O00479
7097 O60603
292 P05141
731 P07357
139596 Q96BW1
8837 O15519
390790 A6NH57
56649 Q9NRS4
140832 Q9H1F0
55833 Q5T6F2
51807 Q9NY65
80863 Q99946
100142659 P0CG41
4162 P43121
51292 Q9P2T1
10052 P36383
26000 Q4KMP7
205 P27144
79832 Q2KHR3
6515 P11169
284110 Q96QA5
79825 Q9HA90
2254 P31371
66035 Q9BYW1
549 Q13825
143496 Q8NGK2
23067 Q9UPS6
64078 Q9HAS3
134864 Q96RJ0
11329 Q15208
127534 Q9NTQ9
56954 Q9NQR4
84859 Q96II8
121643 Q96NZ1
967 P08962
338599 Q68J44
116255 Q96PD6
11006 Q8NHJ6
10518 O75838
64838 Q9H6D8
5095 P05165
1832 P15924
2658 Q9UK05
284348 Q6UWN5
23394 Q9H2P0
84528 Q9BQY4
1303 Q99715
10447 Q92520
10 P11245
420 Q93070
7165 O43399
53838 Q96F05
65979 Q8IZ21
92521 Q5M775
255738 Q8NBP7
2817 P35052
80110 Q8N883
5284 P01833
